,IDENTIFIERS,,,,,FACEBOOK,,,,INSTAGRAM,,,,TIKTOK,,,,,LINKED IN,,,THREADS,,,YouTube,,,,,
Ads/Organic,Post,FORMAT,Publish Date,Posting Time,Platforms,Views,Reach,Engagement,Posting link,Views,Reach,Interactions,Posting link,Views,Engagements,Followers gained,Ave. watch time,Posting link,Impressions,Reach,Posting link,Views,Interactions,Posting Link,Duration,Views,Watch time (hours),Subscribers,Impressions,Posting Link
Choose,"Wishing you a Happy New Year from Ligon Razon Solutions. #LigonRazonSolutions #HappyNewYear","REEL, STORY","January 1, 2026",12:00 AM,"TIKTOK, FACEBOOK, INSTAGRAM","1,714",400,55,https://www.facebook.com/reel/850984627645121,94,42,5,https://www.instagram.com/p/DS8nsfoEi1P/,188,199,1,2.96s,https://www.tiktok.com/@ligonrazon.solutions/video/7590171577900125460,,,,,,,,,,,,
Organic,"We don't run out of dreams. The Graveyard Theory reminds us the future is not guaranteed.",REGULAR POST,"January 2, 2026",9:45 PM,LINKED IN,,,,,,,,,,,,,,295,123,https://www.linkedin.com/analytics/post-summary/urn:li:activity:7412847823454605312/,,,,,,,,,
Choose,"Working from home isn't always as peaceful as it looks.","REEL, STORY","January 5, 2026",8:00 PM,"TIKTOK, FACEBOOK, INSTAGRAM",400,231,28,https://www.facebook.com/share/r/1NyuRprC7P/,41,20,2,https://www.instagram.com/reel/DTINRPkCj9p/,898,941,8,9.02s,https://www.tiktok.com/@ligonrazon.solutions/video/7591854022294916373,,,,,,,,,,,,
Organic,"Take the risk or lose the chance? Opportunities do not wait.",REGULAR POST,"January 5, 2026",9:45 PM,LINKED IN,,,,,,,,,,,,,,427,189,https://www.linkedin.com/analytics/post-summary/urn:li:activity:7413938577811779585/,,,,,,,,,
Choose,"Toxic or healthy workplace? A healthy work culture begins with how people treat one another.","REEL, STORY","January 7, 2026",8:00 PM,"TIKTOK, FACEBOOK, INSTAGRAM",479,283,35,https://www.facebook.com/share/r/1AjLbvpMdZ/,31,20,2,https://www.instagram.com/reel/DTNW0L2liOf/,123,135,1,6.09s,https://www.tiktok.com/@ligonrazon.solutions/video/7592619757854215445,,,,,,,,,,,,
Organic,"Have you ever scrolled LinkedIn and suddenly felt behind in life?",REGULAR POST,"January 7, 2026",9:45 PM,LINKED IN,,,,,,,,,,,,,,309,136,https://www.linkedin.com/analytics/post-summary/urn:li:activity:7414663359582646272/,,,,,,,,,
Choose,"WE ARE HIRING! Content Media Editor (Work From Home)","REGULAR POST, STORY","January 17, 2026",7:00 AM,"FACEBOOK, TIKTOK, INSTAGRAM",5587,2104,1257,https://www.facebook.com/share/p/16zdMUxdLo/,253,82,11,https://www.instagram.com/p/DTltceNjcwj/,232,250,1,17.66s,https://www.tiktok.com/@ligonrazon.solutions/photo/7596101716936772885,,,,,,,,,,,,
Organic,"Do you think that real growth happens when work challenges you?",REGULAR POST,"January 19, 2026",9:45 PM,LINKED IN,,,,,,,,,,,,,,"37,010","23,792",https://www.linkedin.com/analytics/post-summary/urn:li:activity:7419012013634478080/,,,,,,,,,
